,,,※特に指定のないレジスタは汎用レジスタ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,※フラグが生成されない命令の後、フラグはすべておろした状態(00000)となります。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,まだ対応なし,,,,,,,,,,,,,,,,,,,,,,,
Addr[Hex],Addr[Dec],Type-E,Unit,Instruction,Immediate(Displacement),Mnemonic,Opcode,FMT1(Operand/Disp),FMT2(Imm),Operation,Flag,AFE-FMT1,AFE-FMT2(Imm),Auth,Trap,Trap Condition,Note,,,,,,,,,,,,,,,,,,,,
000,0,○,integer,add,符号拡張,ADD,0000000000,O2,I11,Rd = Rd + Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,
001,1,○,,sub,符号拡張,SUB,0000000001,O2,I11,Rd = Rd - Rs,,,,,,,,,,,,,,,,,,,,,,,,,,,
002,2,○,,mul output Low 32bit,符号拡張,MULL,0000000010,O2,I11,Rd = (Rd * Rs) & 0xFFFFFFFF,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,3,○,,mul output High 32bit,符号拡張,MULH,0000000011,O2,I11,Rd = (Rd * Rs) >> 32,,,,,,,,,,,,,,,,,,,,,,,,,,,
004,4,,,unsigned div,,UDIV,0000000100,O2,I11,Rd = Rd / Rs,,,,,4,0割の時（結果は0）,,,,,,,,,,,,,,,,,,,,,
005,5,,,unsigned mod,,UMOD,0000000101,O2,I11,Rd = Rd % Rs,,,,,4,0割の時（結果は0）,,,,,,,,,,,,,,,,,,,,,
006,6,○,,cmp,符号拡張,CMP,0000000110,O2,I11,"FLAGR = flags(Rd, Rs)",,,,,,,SUBを行ない、結果を破棄しフラグのみ更新,,,,,,,,,,,,,,,,,,,,
007,7,,,signed div,符号拡張,DIV,0000000111,O2,I11,Rd = Rd / Rs,,,,,4,0割の時（結果は0）,,,,,,,,,,,,,,,,,,,,,
008,8,,,signed mod,符号拡張,MOD,0000001000,O2,I11,Rd = Rd % Rs,,,,,4,0割の時（結果は0）,,,,,,,,,,,,,,,,,,,,,
009,9,,,Sign Negative,,NEG,0000001001,O2,,Rd = neg(Rs),フラグを発生しない,,,,,,,,,,,,,,,,,,,,,,,,,,
00A,10,○,,unsigned mul output low 32bit,,UMULL,0000001010,O2,I11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00B,11,○,,unsigned mul output high 32bit,,UMULH,0000001011,O2,I11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00C,12,,,,,,0000001100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00D,13,,,increment(Cary Output),,IC,0000001101,O2,,Rd = cary_output(Rs + 1),,,,,,,,,,,,,,,,,,,,,,,,,,,
00E,14,○,,add cary output,符号拡張,ADDC,0000001110,O2,I11,Rd = cary_output(Rd + Rs),,,,,,,,,,,,,,,,,,,,,,,,,,,
00F,15,,,,,,0000001111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010,16,○,,Inc,,INC,0000010000,O2,,Rd = Rs + 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
011,17,○,,Dec,,DEC,0000010001,O2,,Rd = Rs - 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
012,18,,,,,,0000010010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
